ensembl_id	gene_symbol	contrast	log_fold_change	avg_expression	t_statistic	p_value	adj_p_value
ENSG00000000003	TSPAN6	astrocytoma_normal	0.9060077739397266	8.361818346493259	0.6462351308542261	0.5208219883051259	0.6250736519327154
ENSG00000000419	DPM1	astrocytoma_normal	0.460851244532006	10.50000930595249	0.5152064249990198	0.6084790784465408	0.701964705051701
ENSG00000001561	ENPP4	astrocytoma_normal	3.1120330961471563	5.923962197769333	3.091261677502631	0.003129814584698996	0.00957905712051321
ENSG00000001629	ANKIB1	astrocytoma_normal	0.9588817048723288	12.32898174407708	0.6863024134142897	0.4954135642680483	0.6020367453320392
ENSG00000002549	LAP3	astrocytoma_normal	5.648147767287853	12.001801338432236	2.5245035735333983	0.014509698338169575	0.03445495025696531
ENSG00000002586	CD99	astrocytoma_normal	11.729064142025434	19.084010745014183	3.0596749325744996	0.003425069656973207	0.010337576680249006
ENSG00000002834	LASP1	astrocytoma_normal	0.15624763474001233	8.453933401652929	0.19375450813137926	0.8470838853969466	0.8923322866495699
ENSG00000003096	KLHL13	astrocytoma_normal	-4.303503585685301	5.116563283144191	-3.8697525302255227	2.9177346467640234e-4	0.0012818857847864018
ENSG00000004059	ARF5	astrocytoma_normal	-6.0991771409430795	6.3456094952145685	-5.895302046634903	2.3931970478781315e-7	2.860426697988308e-6
ENSG00000004779	NDUFAB1	astrocytoma_normal	-2.7065621806484055	25.473133170132094	-0.9100686715160098	0.3667683662402652	0.47678936695065843
ENSG00000005022	SLC25A5	astrocytoma_normal	-6.473327256119866	38.86691231880076	-1.5183890524469543	0.13465980717902437	0.2154900736282225
ENSG00000005075	POLR2J	astrocytoma_normal	1.3523110692366644	5.613840945386064	2.33642682535669	0.023150575803221326	0.050760680912802766
ENSG00000005249	PRKAR2B	astrocytoma_normal	-17.20192812964579	7.539868171666065	-8.02557344677916	8.071982957166709e-11	2.3877830411347418e-9
ENSG00000005483	KMT2E	astrocytoma_normal	-7.8668580751936465	12.05286086824821	-5.0518009611995085	5.1756682697306805e-6	4.11264670434701e-5
ENSG00000005513	SOX8	astrocytoma_normal	16.54248989579722	24.832741870438092	1.7057160928689548	0.09371851910423791	0.16088462260209743
ENSG00000005700	IBTK	astrocytoma_normal	0.0518847765832302	7.568481199513268	0.08868461371334993	0.9296555858200146	0.9513813873459646
ENSG00000005810	MYCBP2	astrocytoma_normal	-4.19118867210467	7.765074996690414	-4.119397859295499	1.2917317862156495e-4	6.489023481113088e-4
ENSG00000005893	LAMP2	astrocytoma_normal	8.934379590577059	12.116466141564135	7.512147511383093	5.551430163795996e-10	1.3334069864082934e-8
ENSG00000006007	GDE1	astrocytoma_normal	0.8499934740377286	5.185520270539482	1.7169467507914387	0.09163152031685554	0.1578426326097101
ENSG00000006451	RALA	astrocytoma_normal	1.2507977595383017	9.674195873172524	1.1104027111346213	0.27166986470548626	0.3771447917583742
ENSG00000006625	GGCT	astrocytoma_normal	1.3396142108153584	8.880052490580315	0.6378184573418191	0.5262457616053733	0.6297148056448229
ENSG00000006747	SCIN	astrocytoma_normal	5.265846337272749	5.420665645687156	3.0275295141732146	0.003752140611598207	0.011175071592844319
ENSG00000006831	ADIPOR2	astrocytoma_normal	3.652267575381979	8.545795041756985	1.8324323486495633	0.0723177866545888	0.12964018386419238
ENSG00000007372	PAX6	astrocytoma_normal	-27.14920125108249	5.860617280523436	-26.738419171151392	3.8401895308296094e-33	9.627355153789831e-30
ENSG00000008018	PSMB1	astrocytoma_normal	6.718558309740263	25.75267993832502	2.8045867473316206	0.0069553056179129024	0.018676611256240618
ENSG00000008324	SS18L2	astrocytoma_normal	0.5797888052400013	6.731484452439597	1.2794453895419664	0.2061262355362023	0.30182286485464505
ENSG00000008394	MGST1	astrocytoma_normal	8.387696466985037	17.46603199245056	1.496759716106612	0.1401884853204685	0.22247351333971482
ENSG00000008405	CRY1	astrocytoma_normal	-2.4994446984573417	9.638068606205344	-2.0581292219858427	0.044341825644015884	0.08710585919540494
ENSG00000008952	SEC62	astrocytoma_normal	0.07804284887536597	10.598741700964144	0.08970539496840053	0.9288481009430731	0.9507005620063422
ENSG00000008988	RPS20	astrocytoma_normal	-3.113097374048991	6.152061950114517	-3.9216046295387694	2.46819600655266e-4	0.001113408436964016
ENSG00000009307	CSDE1	astrocytoma_normal	-3.1418136632346805	22.682214877204345	-1.7370108311084933	0.08799857767329153	0.15267296486293555
ENSG00000009413	REV3L	astrocytoma_normal	-7.387605597548465	9.150479305576257	-5.710308952449468	4.739247744205428e-7	5.1996910699006595e-6
ENSG00000010017	RANBP9	astrocytoma_normal	-0.16167013127240917	5.126261523823638	-0.3280190514834111	0.7441461628851928	0.8139948428047683
ENSG00000010270	STARD3NL	astrocytoma_normal	2.4237789623615535	17.13765836890798	1.3652959225899297	0.17773384008913223	0.2688055121655709
ENSG00000010278	CD9	astrocytoma_normal	3.26648026924145	16.34251620064464	1.2615729981471084	0.21244147516504264	0.3094883580961789
ENSG00000010810	FYN	astrocytoma_normal	0.253398288065967	10.083912989545032	0.1607131992201253	0.8729097641430594	0.9118269911277709
ENSG00000011201	ANOS1	astrocytoma_normal	-18.355446208857924	16.98598557420782	-3.007032270594884	0.003975683454166858	0.011703553112691986
ENSG00000011260	UTP18	astrocytoma_normal	3.5374992562488456	9.718590658019643	4.4516007882575686	4.224107101618102e-5	2.501289992029898e-4
ENSG00000011295	TTC19	astrocytoma_normal	-6.146054833606286	9.10371594562008	-7.469704914379199	6.513197229721049e-10	1.5459015815300044e-8
