Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000142627	98.92612024962342	0.6419203298005185	0.20756558469564246	3.0994364560670884	0.0019388916364280469	0.0052811953469446195
ENSG00000142632	34.88582146096096	-2.138506621204881	0.3526879435528751	-6.675603602731432	2.4621665200476026e-11	3.1196315259413947e-10
ENSG00000142634	51.43137885323053	1.5117482858523625	0.1571789708214461	9.602693919095428	7.788174968509345e-22	3.408699982067908e-20
ENSG00000142655	56.981818020454575	-0.07990573357649013	0.1020498812070789	-0.7829318551841099	0.43366712990987244	0.5431558803404313
ENSG00000142657	596.5097562397493	-0.2699681249898011	0.1015110857648147	-2.6616842850007294	0.0077750767041981465	0.018186386312425334
ENSG00000142661	2.2130957389284487	0.465511339707985	0.41080860895759486	1.093144078317218	0.27433054549134056	0.3779322920188938
ENSG00000142669	50.767332092442594	0.5997193588679651	0.11291775371306463	5.313308535076171	1.0765253803538608e-7	7.175974106105172e-7
ENSG00000142675	15.518722242953467	0.9810716166745043	0.33046612036829565	2.9856504504464327	0.002829759002837359	0.00741112301972153
ENSG00000142676	999.398021778823	-0.385014564347385	0.13366629690543433	-2.8937518634531783	0.0038066885779758303	0.00964056449471526
ENSG00000142677	0.08430251891259752	0.031112416894833187	0.2508889519050871	0.12400850512393839	0.9013085409315076	NA
ENSG00000142684	19.659859211421658	0.336888431849354	0.17651332620248997	1.9084469961274158	0.05633346761719731	0.10207961113660835
ENSG00000142686	164.83647346056543	-0.59339098816459	0.07864061305186687	-7.544724690562055	4.532439581614368e-14	8.358072151550411e-13
ENSG00000142687	172.06700111774157	-0.3070469100715653	0.10595539871047041	-2.897831446287913	0.003757524701761922	0.00953436866831483
ENSG00000142694	0.5878906225690789	0.21377085838897422	0.4493955354333552	0.5146306782423156	0.6068111231933553	NA
ENSG00000142698	0.44614314185644777	-0.31609353453130634	0.43320353492366015	-0.725097958433538	0.46839193679351177	NA
ENSG00000142700	20.790339533405092	-1.9546437019278065	0.21228668873003076	-9.10450913041713	8.665741128631087e-20	3.0776510917441314e-18
ENSG00000142731	225.23851991238385	0.5004325698938045	0.17642817725771662	2.815723549157517	0.004866752489125657	0.01198793174249557
ENSG00000142733	15.869038623319028	-1.8920718787780941	0.28736747660515904	-6.524543959312089	6.820874404035853e-11	8.038724381426835e-10
ENSG00000142751	162.90792747742753	1.291731725515328	0.2548508653432751	5.07987806029444	3.776772116974482e-7	2.270583772576052e-6
ENSG00000142765	8.922533398067262	0.41165063840023786	0.2969175524430206	1.4360316141564846	0.1509933455974619	0.23211802220535277
ENSG00000142784	176.1952882660635	-0.5198347747947553	0.08542008872207897	-6.085724090487819	1.1596599922613826e-9	1.113020345620843e-8
ENSG00000142794	19.899485355490814	-1.2817678043465437	0.2992357647378543	-4.401611003331966	1.0745007199012602e-5	4.789348785985578e-5
ENSG00000142798	23.556831376505063	-0.6383051222956607	0.29936863982803313	-2.142569251749675	0.0321477023773734	0.06306843048450517
ENSG00000142856	69.00594090773876	0.5326232036702592	0.17079345438711152	3.1234588095983904	0.0017873888140748637	0.004918058487247075
ENSG00000142864	1391.8723090326737	-0.3800532540296025	0.16992482741229187	-2.2573174509505107	0.023988245694403984	0.048915275873579855
ENSG00000142867	40.14540733239528	0.07314224661773185	0.1361204295162897	0.5374073023388805	0.590986300325198	0.6867981596243254
ENSG00000142871	2.0600119707750246	-0.32022858644089786	0.409451155265637	-0.8008768204551063	0.4232029604070977	0.533326741502278
ENSG00000142875	280.30154687735876	-0.3505058340809162	0.11671907534220954	-3.001764666121	0.002684195935834728	0.0070685054877505215
ENSG00000142892	99.0923827379086	0.39426867669045923	0.16608943414546382	2.3742307757212324	0.01758555546145307	0.03743879879135098
ENSG00000142910	0.8815485832826776	0.822234012850267	0.4528907026455965	1.7461529902379092	0.08078437098507345	0.1382179310868702
ENSG00000142920	13.038469115638215	-0.6717580009821772	0.3729882870842818	-1.8628895830741943	0.06247780270365735	0.11140492991601347
ENSG00000142937	2103.1098855264827	-0.19248077360396995	0.09524772844783744	-2.026452304904519	0.04271845560365961	0.08052797242559227
ENSG00000142945	265.9888696514358	0.705215169151941	0.09578459419806991	7.360415142220983	1.8333915207795448e-13	3.1266958385097234e-12
